iter	Passed	Remaining
0	79	15825
1	125	12437
2	172	11332
3	211	10345
4	244	9545
5	279	9021
6	312	8604
7	341	8192
8	374	7944
9	406	7732
10	441	7579
11	472	7404
12	505	7268
13	537	7145
14	576	7105
15	622	7153
16	661	7119
17	694	7017
18	739	7042
19	786	7080
20	840	7166
21	888	7191
22	927	7141
23	975	7150
24	1024	7174
25	1095	7328
26	1171	7503
27	1221	7502
28	1283	7569
29	1350	7651
30	1424	7766
31	1536	8065
32	1618	8191
33	1677	8191
34	1734	8175
35	1804	8221
36	1875	8263
37	1924	8205
38	1968	8125
39	2004	8016
40	2042	7919
41	2078	7818
42	2117	7731
43	2156	7646
44	2188	7538
45	2232	7475
46	2290	7457
47	2339	7409
48	2383	7346
49	2416	7248
50	2450	7158
51	2490	7088
52	2529	7014
53	2566	6938
54	2602	6862
55	2650	6814
56	2702	6780
57	2736	6699
58	2775	6633
59	2829	6601
60	2877	6557
61	2930	6523
62	2967	6452
63	3011	6398
64	3052	6339
65	3128	6350
66	3198	6348
67	3268	6345
68	3324	6311
69	3362	6243
70	3402	6181
71	3445	6125
72	3505	6099
73	3558	6059
74	3610	6017
75	3662	5975
76	3710	5926
77	3747	5862
78	3781	5791
79	3818	5728
80	3858	5668
81	3895	5606
82	3935	5546
83	3978	5494
84	4015	5432
85	4049	5368
86	4091	5313
87	4128	5254
88	4168	5198
89	4207	5142
90	4244	5084
91	4276	5020
92	4313	4962
93	4355	4911
94	4405	4868
95	4476	4849
96	4525	4805
97	4572	4759
98	4624	4718
99	4674	4674
100	4718	4625
101	4754	4567
102	4792	4513
103	4823	4452
104	4852	4390
105	4884	4331
106	4918	4274
107	4951	4217
108	4988	4164
109	5027	4113
110	5059	4056
111	5087	3997
112	5119	3941
113	5151	3885
114	5183	3830
115	5219	3779
116	5251	3725
117	5287	3674
118	5334	3631
119	5378	3585
120	5426	3542
121	5459	3490
122	5490	3437
123	5537	3393
124	5583	3350
125	5629	3305
126	5677	3263
127	5720	3218
128	5762	3171
129	5805	3125
130	5844	3078
131	5877	3027
132	5908	2976
133	5941	2926
134	5980	2879
135	6027	2836
136	6069	2790
137	6108	2744
138	6141	2694
139	6173	2645
140	6203	2595
141	6237	2547
142	6270	2499
143	6302	2451
144	6334	2402
145	6367	2355
146	6400	2307
147	6432	2260
148	6476	2216
149	6509	2169
150	6550	2125
151	6587	2080
152	6627	2036
153	6678	1994
154	6723	1951
155	6759	1906
156	6791	1860
157	6821	1813
158	6862	1769
159	6894	1723
160	6927	1678
161	6958	1632
162	6983	1585
163	7015	1539
164	7052	1495
165	7083	1450
166	7114	1405
167	7141	1360
168	7173	1315
169	7223	1274
170	7263	1231
171	7306	1189
172	7347	1146
173	7378	1102
174	7410	1058
175	7445	1015
176	7477	971
177	7506	927
178	7537	884
179	7569	841
180	7601	797
181	7632	754
182	7668	712
183	7704	669
184	7735	627
185	7768	584
186	7798	542
187	7831	499
188	7862	457
189	7891	415
190	7922	373
191	7951	331
192	7984	289
193	8025	248
194	8072	206
195	8116	165
196	8166	124
197	8198	82
198	8232	41
199	8267	0
